45.032187,-93.338561,Chrysemys picta,Painted Turtle,Reptilia,"Robbinsdale, MN",hselen
47.235219,-95.207314,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Schoolcraft trail, Itasca State Park, MN",riversedge
47.368846,-94.947892,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Neilson Spearhead Center, MN",gamaxson
46.263843,-96.062521,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"Otter Tail County, US-MN, US",scottking
47.2308762,-95.1870918,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Itasca State Park, Park Rapids, MN, United States",bekkita
47.1593923,-94.7626637,Chrysemys picta,Painted Turtle,Reptilia,"Kabekona Lake, Minnesota 56461, USA",bekkita
47.2308762,-95.1870918,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Itasca State Park, Park Rapids, MN, United States",bekkita
47.2308762,-95.1870918,Plestiodon septentrionalis,Prairie Skink,Reptilia,"Itasca State Park, Park Rapids, MN, United States",bekkita
45.1619556509,-93.2951175816,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Erlandson Park, Coon Rapids, MN, US",meganmaye
45.4020253,-93.1994037,Plestiodon septentrionalis,Prairie Skink,Reptilia,"2660 Fawn Lake Dr NE, East Bethel, MN 55005, USA",malisaspring
47.3793942,-94.6043207,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Cass Lake, MN 56633, USA",leedoolan
46.7992187537,-96.1217379595,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,"Becker County, MN, USA",sgoodchild
48.3432239056,-92.211027979,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"00060, Northeast St. Louis, MN, US",gonodactylus
44.8973889909,-93.5010968331,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"Minnetonka, MN, USA",heatherholm
44.8973737946,-93.4990369005,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Minnetonka, MN, USA",heatherholm
44.8793639311,-93.1819262243,Chrysemys picta,Painted Turtle,Reptilia,"Hennepin County, MN, USA",cmlr
45.9721497117,-92.5801855247,Heterodon platirhinos,Eastern Hognose Snake,Reptilia,"Pine County, MN, USA",bolmstead42
44.876191,-93.1844738,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Fort Snelling State Park Trail, Mendota Heights, MN, USA",cmlr
43.768999916,-94.1955288532,Apalone spinifera,Spiny Softshell,Reptilia,"Faribault County, MN, USA",dexternienhaus
43.7955893735,-94.0762462606,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Faribault County, MN, USA",dexternienhaus
44.8621639,-93.6162667,Chrysemys picta,Painted Turtle,Reptilia,"Minnesota Landscape Arboretum, Chaska, MN 55318, USA",gentoopenguin21
44.8597285003,-93.2152306259,Storeria dekayi,DeKay's Brownsnake,Reptilia,"South Loop District, Bloomington, MN, USA",drshawntdash
45.137505,-93.444868,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Maple Grove, MN, USA",frankziegler
45.0,-92.9661111111,Chrysemys picta,Painted Turtle,Reptilia,"Oakdale, MN 55128, USA",frankziegler
47.0689220949,-92.7768528304,Chelydra serpentina,Common Snapping Turtle,Reptilia,"St Louis County, MN, USA",mnwild
44.9675158907,-92.9896966315,Chrysemys picta,Painted Turtle,Reptilia,"Maplewood, MN, USA",lcplinske
44.9671456891,-92.9895575259,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Maplewood, MN, USA",frankziegler
44.9671912337,-92.9895476827,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Maplewood, MN, USA",frankziegler
43.5063092274,-91.3847882889,Pantherophis obsoletus,Western Ratsnake,Reptilia,United States,jeff_leclere
47.3581078602,-93.8591861352,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"Morse Township, MN, USA",rutherfordscouts
44.0793448907,-91.6798014829,Apalone spinifera,Spiny Softshell,Reptilia,"Winona, MN 55987, USA",dexternienhaus
43.8197072853,-92.3094907213,Lampropeltis triangulum,Eastern Milksnake,Reptilia,"Minnesota, US",squamatologist
43.9827784608,-92.2116428597,Lampropeltis triangulum,Eastern Milksnake,Reptilia,"Minnesota, US",squamatologist
45.435088,-93.707628,Opheodrys vernalis,Smooth Greensnake,Reptilia,"Orrock, Minnesota, United States",squamatologist
45.5523329804,-93.6372018634,Pituophis catenifer sayi,Bullsnake,Reptilia,"Minnesota, US",squamatologist
45.403611493,-93.6846715178,Heterodon nasicus,Plains Hognose Snake,Reptilia,"Minnesota, US",squamatologist
45.4730114523,-93.6800399001,Pituophis catenifer sayi,Bullsnake,Reptilia,"Minnesota, US",squamatologist
45.254404,-93.094537,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Columbus, Minnesota, United States",squamatologist
45.260448,-93.065271,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Columbus, Minnesota, United States",squamatologist
45.4500100783,-93.6583389986,Emydoidea blandingii,Blanding's Turtle,Reptilia,"Minnesota, US",refugerover
47.9019825364,-91.4652935124,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Lake County, MN, USA",jacobfpenner
47.1969160064,-91.377857,Diadophis punctatus edwardsii,Northern Ringneck Snake,Reptilia,"Split Rock Lighthouse State Park, Two Harbors, MN, US",takeahike
