48.1187744022,-96.1747941747,Chrysemys picta,Painted Turtle,Reptilia,"b'Thief River Falls, MN 56701, USA'",b'shaunimulder94'
44.2160528349,-91.848934266,Chrysemys picta,Painted Turtle,Reptilia,"b'Minnesota, US'",b'mtjones'
44.8621967,-93.6162791,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'3675 Arboretum Dr, Chaska, MN 55318, USA'",b'christoph_moning'
44.8621967,-93.6162791,Chrysemys picta,Painted Turtle,Reptilia,"b'3675 Arboretum Dr, Chaska, MN 55318, USA'",b'christoph_moning'
44.924882,-94.370309,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Wright County, MN, USA'",b'frankziegler'
45.0996513889,-93.0502244444,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'White Bear Lake, MN, USA'",b'frankziegler'
45.065946,-94.604754,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Meeker County, MN, USA'",b'frankziegler'
45.065023,-94.602824,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Meeker County, MN, USA'",b'frankziegler'
45.088954,-94.301183,Apalone spinifera,Spiny Softshell,Reptilia,"b'Dassel, MN 55325, USA'",b'frankziegler'
45.159215,-94.273912,Apalone spinifera,Spiny Softshell,Reptilia,"b'Dassel, MN 55325, USA'",b'frankziegler'
45.1148052843,-93.0228433119,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Minnesota, US'",b'frankziegler'
44.3820960391,-91.9168352047,Coluber constrictor flaviventris,Eastern Yellow-bellied Racer,Reptilia,"b'Minnesota, US'",b'jeff_leclere'
44.0138261955,-93.2794828731,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Saco Farm, Steele County, MN, USA'",b'pauls_tucson'
46.5385877656,-95.8342139864,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'395th St, Dent, MN, US'",b'entzion'
44.33425,-92.13907,Heterodon platirhinos,Eastern Hognose Snake,Reptilia,"b'Dumfries, Minnesota, United States'",b'squamatologist'
44.32969,-92.1393,Heterodon platirhinos,Eastern Hognose Snake,Reptilia,"b'Dumfries, Minnesota, United States'",b'squamatologist'
44.3096400038,-92.5138651556,Lampropeltis triangulum,Eastern Milksnake,Reptilia,"b'Minnesota, US'",b'squamatologist'
45.9377056189,-92.7293760188,Emydoidea blandingii,Blanding's Turtle,Reptilia,"b'Minnesota, US'",b'squamatologist'
46.8041796137,-96.5347948183,Heterodon nasicus,Plains Hognose Snake,Reptilia,"b'Clay County, US-MN, US'",b'squamatologist'
46.86424,-96.468511,Thamnophis sirtalis parietalis,Red-sided Garter Snake,Reptilia,"b'Muskoda, Minnesota, United States'",b'squamatologist'
44.2474903059,-93.9783642319,Coluber constrictor flaviventris,Eastern Yellow-bellied Racer,Reptilia,"b'Minnesota, US'",b'squamatologist'
45.3680264989,-93.1572915003,Pituophis catenifer sayi,Bullsnake,Reptilia,"b'Minnesota, US'",b'squamatologist'
45.40539,-93.19848,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,"b'Bethel, Minnesota, United States'",b'squamatologist'
44.32932,-92.05914,Aspidoscelis sexlineatus viridis,Prairie Racerunner,Reptilia,"b'Wabasha, Minnesota, United States'",b'squamatologist'
43.7531,-91.90801,Nerodia sipedon sipedon,Northern Watersnake,Reptilia,"b'Lanesboro, Minnesota, United States'",b'squamatologist'
44.1912697509,-91.8350026295,Diadophis punctatus arnyi,Prairie Ringneck Snake,Reptilia,"b'Minnesota, US'",b'squamatologist'
44.089015612,-91.9020920331,Aspidoscelis sexlineatus viridis,Prairie Racerunner,Reptilia,"b'Minnesota, US'",b'squamatologist'
44.9797717631,-93.3232640789,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Golden Valley, MN, USA'",b'watts_'
45.2162252603,-92.7787192877,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Marine on St Croix, MN 55047, USA'",b'dave21779'
45.1007468909,-93.548008138,Emydoidea blandingii,Blanding's Turtle,Reptilia,"b'Minnesota, US'",b'cherylbatson'
45.0949189461,-93.5889579266,Emydoidea blandingii,Blanding's Turtle,Reptilia,"b'Hennepin County, US-MN, US'",b'cherylbatson'
47.2511666667,-92.4426666667,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Cotton, MN, US'",b'bogben'
48.0010416,-91.3362479,Thamnophis sirtalis,Common Garter Snake,Reptilia,"b'Minnesota, USA'",b'brobin'
44.2383132873,-93.9158583573,Chrysemys picta,Painted Turtle,Reptilia,"b'Kasota, MN, US'",b'jillymags'
45.5122809034,-92.7280854392,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'Chisago County, MN, USA'",b'naturalistdave99'
44.7677728088,-93.1804885193,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Apple Valley, MN 55124, USA'",b'davidholmen'
44.8646666667,-93.5085,Chrysemys picta,Painted Turtle,Reptilia,"b'Eden Prairie, MN, USA'",b'wblack6289'
47.0932945394,-94.9145250906,Chelydra serpentina,Common Snapping Turtle,Reptilia,"b'Nevis, MN, US'",b'schmint'
45.3982913017,-93.3444635331,Thamnophis radix,Plains Garter Snake,Reptilia,"b'Minnesota, US'",b'carissab'
44.8721208185,-93.6805252615,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"b'Carver Park Reserve, Victoria, MN, US'",b'kevin193'
43.758299,-92.004452,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"b'Minnesota Memorial Hardwood State Forest, Lanesboro, MN, US'",b'toddnoel91'
44.905511,-92.826646,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"b'13436\xc3\xa2\xe2\x82\xac\xe2\x80\x9c13698 30th St S, Afton, Minnesota, US'",b'danielgeorge'
45.256323284,-93.8276610596,Emydoidea blandingii,Blanding's Turtle,Reptilia,"b'Minnesota, US'",b'eleta'
45.391975423,-93.9178527153,Emydoidea blandingii,Blanding's Turtle,Reptilia,"b'Minnesota, US'",b'benny2014'
45.206444397,-93.8154060251,Emydoidea blandingii,Blanding's Turtle,Reptilia,"b'Minnesota, US'",b'rager001'
